product_code,status,category,source_tab,width_cm,length_cm,size_cm,width_ft,length_ft,size_ft,updated_at
3574,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4137,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4492,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4606,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4666,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4691,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4845,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4850,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4851,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4852,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4857,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4858,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4859,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4860,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4861,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4862,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4864,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4865,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4867,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4868,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4869,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4870,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4873,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4874,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4875,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4876,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4878,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4882,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4883,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4884,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4885,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4886,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4887,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4888,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4890,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4892,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4893,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4894,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4895,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4896,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4897,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4898,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4901,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4902,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4903,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4905,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4907,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4909,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
4910,active,,VİNTAGE RUG,,,,0,0,0x0,2026-05-12T01:15:35+00:00
